course_id,section_id,university,department
105979311,105966834,Troy University,BIO
105979312,105966835,Troy University,BIO
105979312,107261987,Troy University,BIO
105979313,105966836,Troy University,BIO
105979314,105966837,Troy University,BIO
105979315,105966838,Troy University,BIO
107844579,107832329,Troy University,BIO
105979316,105966839,Troy University,BIO
105979317,105966840,Troy University,BIO
105979317,105966841,Troy University,BIO
105979318,105966842,Troy University,BIO
106929039,106924796,Troy University,BIO
106929039,106924797,Troy University,BIO
106929039,107261988,Troy University,BIO
106929039,107504774,Troy University,BIO
106929039,107832330,Troy University,BIO
106929039,107832331,Troy University,BIO
105979319,105966861,Troy University,BIO
105979319,105966862,Troy University,BIO
105979319,105966863,Troy University,BIO
105979319,105966864,Troy University,BIO
105979319,105966865,Troy University,BIO
105979319,105966866,Troy University,BIO
105979319,105966867,Troy University,BIO
105979319,105966843,Troy University,BIO
105979319,105966844,Troy University,BIO
105979319,105966845,Troy University,BIO
105979319,105966846,Troy University,BIO
105979319,105966847,Troy University,BIO
105979319,105966848,Troy University,BIO
105979319,105966849,Troy University,BIO
105979319,105966850,Troy University,BIO
105979319,105966851,Troy University,BIO
105979319,105966852,Troy University,BIO
105979319,105966853,Troy University,BIO
105979319,105966854,Troy University,BIO
105979319,105966855,Troy University,BIO
105979319,105966856,Troy University,BIO
105979319,105966857,Troy University,BIO
105979319,105966858,Troy University,BIO
105979319,105966859,Troy University,BIO
105979319,105966860,Troy University,BIO
105979320,105966868,Troy University,BIO
105979320,105966869,Troy University,BIO
105979320,105966870,Troy University,BIO
105979320,105966871,Troy University,BIO
105979321,105966872,Troy University,BIO
105979321,105966873,Troy University,BIO
105979321,105966874,Troy University,BIO
105979321,105966875,Troy University,BIO
105979321,105966876,Troy University,BIO
105979322,105966877,Troy University,BIO
105979322,105966878,Troy University,BIO
105979322,105966879,Troy University,BIO
105979323,105966880,Troy University,BIO
106893987,106888641,Troy University,BIO
105979324,105966881,Troy University,BIO
105979325,105966882,Troy University,BIO
105979325,105966883,Troy University,BIO
105979325,105966884,Troy University,BIO
